,Headline,1
150,Aides Struggle To Stop Dozens Of Kerosene-Soaked Republicans From Lighting Selves Ablaze Atop David Koch’s Body,1
151,Aides Trying To Talk Trump Out Of Sending Associates To Break Into Watergate Office Complex ,1
152,Air Force Uncovers LSD Use Among Airmen Guarding Nuclear Missiles,1
153,Al Franken: ‘I’m Deeply Sorry For My Hilarious Actions’,1
154,Alabama Begins Offering Tax Credit To Attract More YouTube Fail Compilations To Be Filmed In State,1
155,Alabama Effectively Bans Abortion,1
156,Alabama Forced To Release Thousands Of Sex Offenders After Inmates Deny Charges,1
157,Alabama Governor Signs New ‘Heartbeat Bill’ Lowering State’s Age Of Consent,1
158,Alabama Textbooks Call Evolution A ‘Controversial Theory’,1
159,Alan Turing To Be Honored On Britain’s £50 Note,1
160,Alaska Volcano Erupts,1
161,Alcoholic Parent Easy To Shop For,1
162,Alex DeLarge Forced To Step Down As Leader Of Droogs Amidst Allegations Of Sexual Misconduct,1
163,Alex Jones Pleads With Sandy Hook Parents To Imagine Pain An Expensive Lawsuit Would Cause Him,1
164,Alex Trebek Back On ‘Jeopardy!’,1
165,Alexander Ovechkin Thrilled To Learn He Won Stanley Cup Last Year,1
166,All 50 States Unveil Plans To Ease Coronavirus Restrictions By Memorial Day,1
167,All The Lame Recommendations We Got For What To Do In Seattle In 2016,1
168,All The ‘Tootsie’ Memorabilia We Were Close To Scoring On Ebay In 2017,1
169,Alleged Nazi War Criminal Deported Back To Germany,1
170,Alzheimer’s Symptoms Could Present In Early Childhood,1
171,Amazing Lore: ‘Doom Eternal’ Creators Confirm Every Demon You Fight In The Game Went To Hell For Masturbating As Teenagers,1
172,Amazon Building Homeless Shelter Inside Seattle Headquarters,1
173,Amazon Buys Whole Foods For $13.7 Billion,1
174,Amazon Camera Offers Personalized Fashion Advice,1
175,Amazon Encourages Drivers To Deliver Packages Faster By Strapping Cinder Block To Truck’s Accelerator,1
176,Amazon In Talks For ‘Lord Of The Rings’ Streaming Series,1
177,Amazon Institutes New ‘Hero Tax’ Charging Essential Workers Additional $2 Per Hour For Honor Of Bravely Performing Job,1
178,Amazon Launching Own Grocery Store,1
179,Amazon Notifies Customers About Non-Existent Baby Registries,1
180,Amazon Opening Brick-And-Mortar Bookstores,1
181,Amazon Raises Minimum Wage For Workers To $15,1
182,Amazon Sees Record Profits,1
183,Amazon Users Will Soon Pay By Selfie,1
184,Amazon Workers Now Being Shipped In Packages To Personally Assure Customers They’re Treated Well,1
185,America Celebrates Independence Day,1
186,America Celebrates Thanksgiving,1
187,America Celebrates Valentine’s Day,1
188,America Chooses The Glass Ceiling: A Look Back At Hillary Clinton’s Presidential Campaign,1
189,America Ends Negotiations With Bloodthirsty Warlord: A Look Back At John Bolton's Time In The Trump Administration,1
190,America Surpasses 1 Million Confirmed Coronavirus Cases,1
191,America Votes For President,1
192,American Airlines Suspends Alcohol Service For Economy Class,1
193,American Cancer Society: Colon Cancer Screenings Should Start At 45,1
194,American Diet Mostly ‘Ultra-Processed’ Foods,1
195,American Girl Introduces Male Doll,1
196,American People Admit Having Facebook Data Stolen Kind Of Worth It To Watch That Little Fucker Squirm,1
197,American Psychiatric Association Adds ‘Obsessive Categorization Of Mental Conditions’ To ‘DSM-5’,1
198,American Regrets Role In Killing Famous Lion,1
199,Americans Begin Receiving Stimulus Checks,1
200,Americans Buy $81 Million In Pies On Thanksgiving,1
201,Americans Buying More Frozen Foods During Pandemic,1
202,Americans Celebrate Thanksgiving,1
203,Americans Celebrate Valentine’s Day,1
204,Americans Conned Out Of $201 Million In Online Romance Scams In 2019,1
205,Americans Finally Recognize Own Country Again After President Does Half-Assed Job Walking Back Humanitarian Crimes,1
206,Americans Freed From North Korea Sent Back To Pyongyang After Denuclearization Talks Fall Through,1
207,Americans Get Ready For Mother’s Day,1
208,Americans Having Less Sex Than In Previous Decades,1
209,Americans Set Records For Charitable Contributions,1
210,Americans Trust Mueller More Than Trump,1
211,Americans Tune In Reduced-Field Democratic Debate,1
212,"Americans Unclear On Obama’s Birthplace, Religion",1
213,Americans Urged To Help ‘Flatten The Curve’ Of Covid-19 Pandemic,1
214,Amy Klobuchar Enters 18th Minute Of Tense Standoff With Iowa Rally Crowd Who Haven’t Laughed At Her Joke,1
215,An Alarming Crime Scene In New England,1
216,Ancient Human Sacrifices Reinforced Hierarchy,1
217,Angela Merkel Admits She Only Attending Stupid Work Conference For Free Trip To Argentina,1
218,Angela Merkel To Step Down In 2021,1
219,Angelina Jolie Becomes College Professor,1
220,"Angelina Jolie, Brad Pitt Divorce",1
221,Angolan War Criminal Called In As Character Witness To Manafort Fraud Trial,1
222,Anna Kendrick’s ‘Love Life’ Pulled From HBO Max Until It Can Return With Historical Context,1
223,Annoying YouTube Algorithm Not Letting Man Forget Single Time He Watched 14 Hours Straight Of Hitler Speeches,1
224,Ant Flees Across State Line Carrying Big Crumb,1
225,Anti-Nuclear Weapons Organization Awarded Nobel Peace Prize,1
226,Antonio Brown Proves He’s Changed Man By Breaking Into Robert Kraft’s House In Middle Of Night To Apologize,1
227,Antsy Nursing Home Residents Counting Down Seconds Until They Can All Get Back To Fucking Each Other,1
228,"Antsy, Jonesing Nation Demands New Grinch Content",1
229,App Knows It’s Gone Next Time Man Needs Space For Photos,1
230,Apparently Even Fence Feels Need To Comment On Woman’s Appearance,1
231,Apple Announces Plans To Sell Power Mac G4 For $120,1
232,Apple Blocks News App In China,1
233,Apple Employees Called 911 After Smacking Heads On Headquarters’ Glass,1
234,Apple Opposes Bill Protecting Users’ ‘Right To Repair’,1
235,"Apple Plans To Create 20,000 New Jobs, Build New Campus",1
236,Apple Unveils ‘HomePod’ Smart Speaker,1
237,"Apple Will Build $1 Billion Campus In Austin, Adding 5,000 Jobs",1
238,Applicant Who Actually Faced Punishment For Sexual Assault Clearly Not Yale Material,1
239,Aquarium Lets Penguins Take Tour Of Premises During Coronavirus Shutdown,1
240,Archaeologists Apologize For Murdering Last Remaining Neanderthal In Fit Of Crazed Bloodlust,1
241,Archaeologists Discover Cave With Earliest Known Built-In Shelves,1
242,Archaeologists Discover Perfectly Preserved Roman Mosaic Floor,1
243,Archaeologists May Have Discovered Oldest Theater In London,1
244,Archaeologists Unearth Ancient Clay Pot Shards From Dwelling Of Earliest Known Klutz,1
245,Archaeologists Unearth Earliest Known Shithole Located Super Far From Everywhere,1
246,Archaeologists Unearth Ivory Trumpet Dating Back To Prehistoric Jazz Age,1
247,Archbishop: Church Should Cut Ties With Girl Scouts,1
248,Arctic Locked In To Warm 9 Degrees By End Of Century,1
249,Are You Really Just Going To Lie There?,1
250,Area Dad Doesn’t Like Where Referee Spotted Football,1
251,Area Dad Sure Knows A Lot About Local Weather Woman,1
252,Area Man Afraid Some Woman Might Come Out Of The Woodwork To Hold Him Accountable For Something,1
253,Area Man Always Carbo-Loading Just In Case,1
254,Area Man Has Little Present For You,1
255,Area Man Really Banking On Unconditional Love Doing Most Of Heavy Lifting For Mother’s Day Bouquet,1
256,Area Man Stops Self After Eating 3 Advent Calendars,1
257,Area Man Thankful To Be Single During Golden Age Of Television,1
258,Area Man Thinks Movie He Saw Should Have Been Nominated,1
259,Area Pedestrian Obsessed With Crossing The Street,1
260,Area Woman Quietly Satisfied To Have Concrete Evidence Backing Up Years-Long Hatred Of Matt Lauer,1
261,Arguments For And Against Filming Live Performances,1
262,Arguments For And Against School Uniforms,1
263,Arizona Legalizes Nunchucks,1
264,Armadillos Possible Cause Of Leprosy Outbreak,1
265,Armani To Stop Using Fur In Their Clothing,1
266,Army Guy Wears Glasses,1
267,Article Predicts Climate ‘Doomsday’,1
268,Artificial Turf At Women’s World Cup Seen As Gender Discrimination,1
269,Ashley Madison Website Hacked,1
270,Aspiring Actor Dreams Of One Day Publicly Voicing Regret For Working With Woody Allen,1
271,Assistant Always Follows Warner Bros. CEO With Suitcase Containing Codes To Authorize ‘Collateral Beauty 2’,1
272,Assistant Coach Finally Works Up Courage To Blow Whistle,1
273,Astronaut Sets NASA Record For Most Days In Space,1
274,Astronaut To Run Marathon From Space,1
275,Astronomers Say Wednesday Night Will Be Best Chance For Americans To View ‘NOVΛ’,1
276,Astronomers Scan Mysterious Interstellar Object For Signs Of Extraterrestrial Life,1
277,"At The Peak Of My Fame, I Could Have Slept With Any Werewolf, Mummy, Or Ghoul I Wanted",1
278,Atari Announces Mysterious New Console,1
279,Atlanta Plans Change To Names Of Streets Honoring Confederacy,1
280,Atlantic Records Sends Cease-And-Desist Order To Woman Using Lizzo’s ‘Juice’ As Her Personal Anthem,1
281,Audiobook Narrator Really Going For Broke With Cajun Accent,1
282,"Aunt Jemima, Mrs. Butterworth, Uncle Ben’s Brands To Be Overhauled",1
283,Aunt Scores Big With Nephews By Dropping Bombshell Story About Mom Smoking Weed As Teenager,1
284,Auntie Anne’s Breaks From Pack By Calling For Protesters To Be Shot,1
285,Australia Invests $377 Million To Protect Great Barrier Reef,1
286,Australia Weighing Independence From Britain,1
287,Australian Politician Asks Partner To Marry Him During Same-Sex Marriage Debate,1
288,Austria Weighs Seizure Of Hitler’s Birthplace,1
289,Author Says Kellyanne Conway Is ‘Number One Leaker’ In White House,1
290,Authoritarian Secretary Of Transportation Declares She Has Ultimate Right Of Way In Every Traffic Scenario,1
291,"Authorities Arrest 15,000 At FugitiveCon 2020",1
292,Authorities Block Alleged Site Of ‘Nazi Gold Train’,1
293,"Authorities Claim The True Austin Bomber Was Everyone Who Failed This Sensitive, Promising Kid",1
294,Authorities Theorize Santa Anita Race Track Deaths Could Be Work Of Horse Serial Killer,1
295,Avril Lavigne Rated ‘Most Dangerous Celebrity’ To Search For Online,1
296,BMI Not An Accurate Measure Of Health,1
297,BP Celebrates 10th Anniversary Of Deepwater Horizon By Dyeing Gulf Of Mexico Black,1
298,BP Plans To Be Carbon-Neutral By 2050,1
299,"BREAKING: Hot Damn, 500 Smackers!",1
300,BREAKING: Millions Of Americans Sucked Out Into Space After NASA Accidentally Open Airlock Above Headquarters,1
301,"BREAKING: Situation Worsens In Venezuela, Bolivia, U.S., Japan, Mexico, Iraq, Spain",1
302,"Baby Emerges From Game Of Peekaboo Wiser, More Reflective",1
303,Back Bedroom Declared Off-Limits To Party Guests Like Forbidden Wing Of Decrepit Gothic Manor,1
304,Back-To-School Shopping Necessities,1
305,Backstreet Boys Reunite For Las Vegas Residency,1
306,Badass Churchgoer Doesn’t Even Have To Look At Hymnal,1
307,Bag Of Cocaine Mostly Stems,1
308,Balloons Trigger White House Lockdown,1
309,Ban On Voting Booth Selfies Ruled Unconstitutional,1
310,Bangor Police Bring In Stephen King To Help Track Demonic Car That Killed Woman,1
311,Bank Hostages Can’t Believe Police Didn’t Spring For Better Pizza,1
312,Bankers Fired Over Fake ISIS Beheading Video,1
313,Banking Tech Firm Develops Software That Lets Customers Use Emojis As Passwords,1
314,Banksy Opens ‘Dismaland’ Theme Park,1
315,Bannon: #MeToo Movement Could Spell End For Trump,1
316,Bar Band To Pay Dearly For Slipping In Original Song,1
317,Barack Obama: Women Are Better Leaders Than Men,1
318,"Barack, Michelle Obama Get Book Deals",1
319,Barbara Bush Dies At 92,1
320,Barbie Ad Features Boy For First Time,1
321,Barbie Now Able To Wear Flats,1
322,Barry Manilow Comes Out As Gay,1
323,Baseball Statisticians Unveil New Analytics Model Measuring Precise Amount Of Joy They Suck From The Game,1
324,Beauty Queen Told To Lose Weight Quits Pageant,1
325,"Bed Bugs Getting Stronger, More Resilient",1
326,Bed Bugs Potentially Fatal,1
327,Bees Gain Endangered Status For First Time,1
328,Beijing Issues First Red Alert For Smog,1
329,Being Eaten Alive By Shark Not Nearly As Terrifying As Man Had Imagined,1
330,Bel-Air Homeowners Association Issues Fine To Resident With Unapproved Wildfire In Front Yard,1
331,Belarusian Soccer Execs Pop Champagne On New Mega Yacht To Celebrate Wave Of Increased Popularity That Will Surely Last Forever,1
332,Beloved Father And Infrequent Pornography User Loses 3-Year Battle With Cancer,1
333,Ben And Jerry’s Releases Donald Trump Resistance-Inspired Flavor,1
334,Bend In Road Not Sharp Enough To Merit So Many Roadside Memorials,1
335,Benefits Of Open Office Not Extended To CEO,1
336,Benefits Of Running A Clean Campaign,1
337,Bernie Sanders Announces He Will Seek Reelection,1
338,Bernie Sanders Drops Out Of Presidential Race,1
339,Bernie Sanders Fundraising On Pace With Clinton’s,1
340,"Bernie Sanders Holds Secret Campaign Meeting With 15,000 Working-Class Democratic Donors",1
341,Bernie Sanders Launches $16 Trillion Climate Plan,1
342,Bertolli Packaging Promises Empty Ravioli Floating In Filling-Saturated Water In Just 5 Minutes,1
343,Best Albums Of The Decade,1
344,Best At-Home Workouts To Do When Your Head Is Stuck In The Banister,1
345,Best Methods For Staying Safe From Coronavirus,1
346,Best Movies Of The Decade,1
347,Best Podcasts Of The Decade,1
348,Best Special Effects In Film History,1
349,Best Sports Video Games Of All Time,1
350,Best TV Shows Of The Decade,1
351,Beto O’Rourke Announces He Starting Obama Cover Campaign,1
352,Beto O’Rourke Smashes Records With $6.1 Million In Fundraising,1
353,Beto O’Rourke’s Son Concerned Trump Will Order Ukraine To Investigate Him Next,1
354,Beto Voter Struggling To Refocus Her Sexual Fantasies On Ted Cruz,1
355,Betsy DeVos Confirmed As Education Secretary,1
356,Beyoncé And Jay-Z Launch ‘On The Run II’ Tour,1
357,Beyoncé Begins Painful Surgical Transformation To Prepare For Role In Live-Action ‘Lion King’ Remake,1
358,Beyoncé Releases Surprise Live Album,1
359,Bible Will Not Become Tennessee’s State Book,1
360,Biblical Scholars Find Evidence Church Covered Up For 3 Wise Men Who Molested Baby Jesus,1
361,Biden Begging Donors To Stop Sending Money So He Can Quit Race,1
362,Biden Calls For Trump’s Impeachment,1
363,Biden Campaign Fundraising Email Reminds Donors Sexual Assault Allegations Don’t Bury Themselves,1
364,Biden Complains Moderators Keep Giving Him Ample Time To Speak,1
365,Biden Declares Self Only Candidate Who Can Defeat George Bush In 1988 Election,1
366,Biden Defends Past Inappropriate Touching Of Women As Symptom Of Stuttering Hands,1
367,Biden Extends Olive Branch To Biden Supporters,1
368,Biden Pledges To Select Woman As Vice President Since Position Doesn’t Entail Much Anyway,1
369,Biden To Decide On 2020 Run By January,1
370,Biden Will Not Run For President,1
371,"Biden, Sanders Go Head-To-Head In Debate",1
372,Bidet Sales Skyrocket During Coronavirus Pandemic,1
373,Big Tech Donates Billions To Help With California Housing,1
374,Biggest Announcements Of E3 2019,1
375,Biggest Challenges Of Working In An Office,1
376,Biggest Guy In Prison Tired Of Every New Inmate Beating Shit Out Of Him On Their First Day,1
377,Biggest Revelations From The Mueller Report,1
378,Biggest Roster Moves In NBA Offseason,1
379,Biggest Snubs From The MLB Hall Of Fame,1
380,Bikini Waxing Linked To STDs,1
381,Bill & Melinda Gates Foundation Announces New $17 Billion Initiative To Eradicate All 3rd-World Mac Users By 2040,1
382,Bill And Hillary Clinton Announce Joint Tour,1
383,Bill Belichick Announces This Final Season He Will Coach In Current Mortal Form,1
384,Bill Belichick Reminds Players They Expected To Attend Offseason Team Experiments,1
385,Bill Belichick Visits Hospital To Watch Terminally Ill Fan Die,1
386,Bill Belichick: The Greatest Asterisk In NFL History,1
387,Bill Clinton Co-Authoring Novel With James Patterson,1
388,Bill Cosby Convicted Of Sexual Assault,1
389,Bill Cosby Feeling Better About Retrial Now That Climate Around Sexual Assault Has Cooled Down,1
390,Bill Gates Invests $80 Million In Arizona ‘Smart City’,1
391,Bill Gates Offering $1 Million To Anyone Who Can Design Condom He Can’t Break,1
392,Bill Gates Pledges $12 Million For Universal Flu Vaccine,1
393,"Billie Eilish, Lizzo Win Big At 62nd Annual Grammys",1
394,Billionaire: I Was Happier When I Made $12 A Month,1
395,Billions Of Viruses Gathered Outside Michigan State Capitol Call For End To Social Distancing Measures,1
396,Bin Laden Vineyard Falling Into Disrepair,1
397,Bin Laden’s Personal Documents Made Public,1
398,Bing Removing Revenge Porn,1
399,Biologists Recommend Trees Put Aside A Little Phosphorus For Unexpected Emergencies,1
400,Biologists Still Uncertain About Evolutionary Function Of Ugly People,1
401,Bird Owner Assures Guests He Sometimes Lets Parakeet Out Of Cage To Fly Around House In Frantic Search For Freedom,1
402,Bitcoin Falls 28% To 6-Week Low,1
403,Bitcoin Plunge Reveals Possible Vulnerabilities In Crazy Imaginary Internet Money,1
404,Black Father Gives Son The Talk About Holding Literally Any Object,1
405,Black History Month Celebration Honors How Sharp African Americans Looked In Old-Timey Clothes,1
406,Black Man Shot By Police After Matching Description For Covid-19,1
407,Black Twins Always Get Mistaken For Random Black People,1
408,Blast From The Past: This Building Kind Of Looks Like A GameCube,1
409,Blizzard Entertainment Faces Public Backlash For Banning Esports Champion,1
410,Bloomberg Apologizes For Stop And Frisk,1
411,Bloomberg Campaign Raises Visibility By Pumping $5 Million Into #BloombergIsRacist Hashtag,1
412,Bloomberg Hires Thousands Of Canvassers To Stop Black Men On Street And Force Them To Hear Campaign Pitch,1
413,Bob Dylan Archives Sold To University,1
414,Bob Dylan Refusing To Accept Nobel Prize,1
415,Bob Dylan Wins Nobel Prize,1
416,Bob Iger Offers Rupert Murdoch One Night With Mickey Mouse In Exchange For 21st Century Fox,1
417,Bobcat Escapes National Zoo,1
418,"Bodybuilder Strong, But Now What?",1
419,Boeing ... Boeing ... Gone,1
420,Bolton Argues War With Iran Only Way To Avenge Americans Killed In Upcoming War With Iran,1
421,Bolton Calls For Forceful Iranian Response To Continuing U.S. Aggression,1
422,Bolton Pledges To Donate All Proceeds From Book Towards Killing Iranians,1
423,Bonobos Make Sounds Like Human Infants,1
424,Book Lovers Might Live Longer,1
425,Bookshop Bans ‘Fifty Shades Of Grey’ Donations,1
426,Bored J.B. Pritzker Brainstorming New Hobbies To Blow Money On After Winning Election,1
427,Boris Johnson Prevails In Landslide U.K. Victory,1
428,Boris Johnson To Be Next U.K. Prime Minister,1
429,Boris Johnson Worried Anti-Semitism Accusations Against Labour Party Will Hurt Tories’ Hold On Bigot Vote,1
430,Bose Releases New Headphones Specifically Optimized For Listening To Whitney Houston’s ‘How Will I Know?’,1
431,Boss Encourages Employees To Take Short Mental Breakdowns For Every Hour Of Work,1
432,Boston Market CEO Forgoes Annual 2 Million-Gallon Gravy Bonus To Help Pay Unemployed Workers,1
433,Boston Pulls Bid For 2024 Olympics,1
434,Botanic Garden Forced To Euthanize Rose Bush That Pricked Child,1
435,Botanists Concerned By What Returning To Work Will Do To Nation’s House Plants,1
436,Both Parties Acting Exactly How Everyone Expected Them To Restore Nation’s Faith In Political Process,1
437,Botox Criticized For New Ad Campaign Targeting Millie Bobby Brown,1
438,Bourgeois Pig Owns Ostentatious Glass Crafted Specifically To Hold Wine,1
439,Boy Scouts Reverse Stance On Transgender Members,1
440,Boy Scouts To Lift Ban On Gay Leaders,1
441,Boys Scouts Will Allow Girls To Join,1
